laptop_id;Company;Product;TypeName;Inches;ScreenResolution;Cpu;Ram;Memory;Gpu;OpSys;Weight_kg;Price_euros;id_shop;id_constructors
1;Apple;MacBook Pro;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 2.3GHz;8GB;128GB SSD;Intel Iris Plus Graphics 640;macOS;1.37;1339.69;27;20
2;Apple;Macbook Air;Ultrabook;13.3;1440x900;Intel Core i5 1.8GHz;8GB;128GB Flash Storage;Intel HD Graphics 6000;macOS;1.34;898.94;7;24
3;HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i5 7200U 2.5GHz;8GB;256GB SSD;Intel HD Graphics 620;No OS;1.86;575.00;11;26
4;Apple;MacBook Pro;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.7GHz;16GB;512GB SSD;AMD Radeon Pro 455;macOS;1.83;2537.45;21;5
5;Apple;MacBook Pro;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 3.1GHz;8GB;256GB SSD;Intel Iris Plus Graphics 650;macOS;1.37;1803.60;7;7
6;Acer;Aspire 3;Notebook;15.6;1366x768;AMD A9-Series 9420 3GHz;4GB;500GB HDD;AMD Radeon R5;Windows 10;2.1;400.00;14;14
7;Apple;MacBook Pro;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.2GHz;16GB;256GB Flash Storage;Intel Iris Pro Graphics;Mac OS X;2.04;2139.97;17;37
8;Apple;Macbook Air;Ultrabook;13.3;1440x900;Intel Core i5 1.8GHz;8GB;256GB Flash Storage;Intel HD Graphics 6000;macOS;1.34;1158.70;3;4
9;Asus;ZenBook UX430UN;Ultrabook;14;Full HD 1920x1080;Intel Core i7 8550U 1.8GHz;16GB;512GB SSD;Nvidia GeForce MX150;Windows 10;1.3;1495.00;26;35
10;Acer;Swift 3;Ultrabook;14;IPS Panel Full HD 1920x1080;Intel Core i5 8250U 1.6GHz;8GB;256GB SSD;Intel UHD Graphics 620;Windows 10;1.6;770.00;34;36
11;HP;250 G6;Notebook;15.6;1366x768;Intel Core i5 7200U 2.5GHz;4GB;500GB HDD;Intel HD Graphics 620;No OS;1.86;393.90;13;17
12;HP;250 G6;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;500GB HDD;Intel HD Graphics 520;No OS;1.86;344.99;16;33
13;Apple;MacBook Pro;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.8GHz;16GB;256GB SSD;AMD Radeon Pro 555;macOS;1.83;2439.97;9;34
14;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i3 6006U 2GHz;4GB;256GB SSD;AMD Radeon R5 M430;Windows 10;2.2;498.90;37;2
15;Apple;"MacBook 12""";Ultrabook;12;IPS Panel Retina Display 2304x1440;Intel Core M m3 1.2GHz;8GB;256GB SSD;Intel HD Graphics 615;macOS;0.92;1262.40;16;3
16;Apple;MacBook Pro;Ultrabook;13.3;IPS Panel Retina Display 2560x1600;Intel Core i5 2.3GHz;8GB;256GB SSD;Intel Iris Plus Graphics 640;macOS;1.37;1518.55;11;16
17;Dell;Inspiron 3567;Notebook;15.6;Full HD 1920x1080;Intel Core i7 7500U 2.7GHz;8GB;256GB SSD;AMD Radeon R5 M430;Windows 10;2.2;745.00;11;8
18;Apple;MacBook Pro;Ultrabook;15.4;IPS Panel Retina Display 2880x1800;Intel Core i7 2.9GHz;16GB;512GB SSD;AMD Radeon Pro 560;macOS;1.83;2858.00;16;8
